chord,x,y,color
Em+5,-41.402534,-1.9444617,-15.179322
Em/A,21.40337,-8.742966,9.059066
Em/B,22.982399,-8.912714,9.200531
Em/C,16.859463,3.8302467,7.0500956
Em/C#,19.417253,1.3189514,8.227884
Em/D,24.53705,-0.5406693,10.2843
Em/D#,16.776175,3.831409,7.078921
Em/F,-43.87598,-0.62830544,-15.087446
Em/F#,15.734228,1.5405076,6.767184
Em/G,25.465921,-11.2310295,9.992805
Em/Gb,18.389149,-5.185684,7.806178
Em11,-27.102385,-7.7951965,-9.564025
Em13/C#,-27.991049,3.5676806,-11.256682
Em6,24.457645,3.5466027,10.697116
Em7,18.624344,-12.587519,8.174709
Em7-5,-33.556046,-5.010401,-12.537865
Em7/A,16.137365,-6.3676553,7.499772
Em7/B,14.760873,-9.857237,5.317174
Em7/Bb,-25.396002,3.1200583,-13.02561
Em7/C#,22.040644,0.11273564,9.263127
Em7/D,13.305903,-3.5088868,6.8529406
Em7/F#,12.59905,-0.69471014,6.0629835
Em7/G,26.544384,4.3347206,11.928418
Em7add11,15.076427,-6.0419836,7.0101523
Em7b5,24.602707,1.2136981,10.694133
Em7b5/A,20.662605,1.1021311,8.567391
Em9,23.143587,7.5285487,10.389927
EmM7,-30.712942,2.6692338,-13.124643
EmMaj7,23.096764,-0.15773839,9.896471
Emadd9,12.809142,-14.2178135,5.5123677
Emaj11,21.37198,1.2799022,9.586376
Emaj7,-1.440087,-7.725894,-0.50154823
Emaj7/F,-2.1484902,-8.1235895,-0.34220427
Emaj7sus2/Gb,-35.125393,-0.6173299,-12.597906
Emmaj7,14.252045,-10.903784,5.3440804
Emmaj7/D#,-29.63817,-7.756666,-12.521386
Emmaj9,-38.004894,11.418485,-15.443418
Esus,18.300795,-16.301048,7.1687164
Esus/B,18.540403,-16.971508,6.683129
Esus2,21.515348,-4.670027,9.056393
Esus2/D,29.869354,-0.7406157,12.244909
Esus4,0.7508217,-10.495617,1.7839044
Esus4/D,5.0385246,-9.354952,3.0935998
Esus4/E,13.945728,-6.617381,6.657749
F,27.065624,-3.8640127,11.194601
F#,-2.9820328,-3.8865962,-0.06216263
F#/A,-28.113073,-6.231241,-12.475394
F#/A#,-2.2446315,-3.252553,0.04034759
F#/C#,-23.294264,1.6410035,-11.712281
F#/D,13.508723,10.8271265,4.595087
F#/E,-0.91992104,-2.7073796,0.18094788
F#/G,15.118246,-1.0738304,6.80291
F#/G#,-26.83686,7.1413264,-10.433569
F#13,-6.77646,-1.3773785,-0.59575987
F#4,4.9199986,-8.824783,2.9173107
F#5,11.122785,12.838355,4.151963
F#5/A,-40.456676,2.9850147,-14.840623
F#5/B,-27.538517,-14.098588,-18.633123
F#5/D,-27.493994,-14.061363,-18.632128
F#6,1.4261777,-1.5603766,0.53264564
F#6/9,-37.52496,7.697567,-14.36452
F#7,6.5510674,-2.9696238,1.6023334
F#7#5,25.259502,-5.607852,10.204498
F#7#9,-32.847584,6.924295,-13.966026
F#7/C#,18.321194,-7.5617824,7.783031
F#7add11,-2.235189,-3.6002889,-0.10902111
F#7b5,29.84701,6.480984,12.70233
F#7sus,-22.625135,10.556375,-17.604046
F#7sus4,8.089957,-2.3529446,2.3374143
F#9,3.386708,-4.167818,1.1754515
F#9sus4,12.6988,-2.680245,5.985725
F#M7,1.9280677,5.348278,1.9099468
F#add#11,11.392141,2.473923,5.993949
F#add11,-3.6584506,13.8246765,-5.3757772
F#add11/E,-3.7101617,13.834579,-5.4690695
F#add11/G#,-29.179272,3.8223467,-11.59823
F#add9,4.869477,-4.2718973,1.7643192
F#aug,19.961105,-6.354417,7.903502
F#aug/E,16.916521,2.7544289,6.8845444
F#dim,23.93044,2.0376537,10.825327
F#dim7,33.763947,-0.7102872,13.277382
F#dim7/A,28.974293,-1.7076087,12.366473
F#dim7/C,35.233112,0.16952954,14.032344
F#dim7/Eb,35.384518,1.1976193,14.08055
F#m,4.106614,-6.9087753,2.583288
F#m/A,11.186321,-7.2476926,5.6418614
F#m/C#,16.943615,-7.4451356,7.245565
F#m/D,14.080248,-5.07837,6.5483856
F#m/D#,-26.686607,-4.6586976,-12.443757
F#m/E,15.381324,-8.055874,7.2289524
F#m/F,-29.586773,-7.304016,-12.5001135
F#m11,0.7637243,-12.270815,2.0529592
F#m11/C#,-20.357805,9.53019,-8.961928
F#m11/E,-1.5728593,-0.86000484,0.22768188
F#m6,6.9037447,2.9844804,1.8695886
F#m7,6.5040145,2.8990233,1.7264367
F#m7#5,13.677372,-1.923427,6.2508025
F#m7-5,18.397768,-6.853235,7.9622965
F#m7/A,13.886977,-3.033872,6.5962124
F#m7/B,1.219305,0.17971946,0.6857825
F#m7/E,0.11818989,2.3417294,0.92041475
F#m7add11,1.4036684,-2.5073557,0.819083
F#m7add11/E,-31.896955,-8.518219,-11.713424
F#m7b5,28.171883,-10.223948,10.479392
F#m7b5/C,-28.82529,13.123572,-12.111011
F#m9,-39.58578,13.143098,-17.149494
F#madd6,12.582463,2.1223896,6.21625
F#madd9,-39.603542,1.1032194,-14.87941
F#maj7,-6.8566165,-5.8369346,-1.429964
F#maj7/B,-6.4556007,-7.5575233,-1.5782028
F#mmaj7/E#,-34.57166,9.6596575,-14.163073
F#sus,9.287623,-1.9677848,5.4731
F#sus4,4.756297,-1.4477065,1.3191953
F(2),-28.6073,-4.6582103,-12.394635
F(b5),13.618108,1.2835349,6.2909136
F-,-37.522118,-7.7362924,-14.875429
F/A,33.27859,-3.1908467,12.762854
F/B,-24.457363,13.654737,-17.453398
F/Bb,14.226159,1.9022319,6.508829
F/C,29.618591,1.2599324,12.1000805
F/D,-2.9905968,-17.886444,-3.8485193
F/E,20.18822,-8.371761,8.751179
F/Eb,26.644695,-3.663685,10.848872
F/G,31.659409,-7.7813187,11.867058
F13,16.645613,-4.448744,7.586676
F2,32.11002,-11.479985,11.286255
F4,18.986305,14.170814,9.922968
F5,15.014159,13.552767,4.368158
F6,31.395807,1.5982742,12.886965
F6/9,-18.594248,-8.04568,-7.560867
F6/C,28.99405,-1.2790487,12.351883
F6/G,-39.45778,5.1244464,-15.392152
F6sus2,23.325842,-1.4420208,10.118283
F7,39.37666,3.024002,15.299618
F7/A,32.589104,11.565294,13.1672125
F7/C,-39.235058,5.336102,-15.534693
F7/Eb,31.768835,-1.5684812,13.004047
F7b9,18.176283,-0.77321345,8.389078
